"agency_code","agency_collection_num","collection_id","code","name","street","city","zip","region","site_code","site_name","site_street","site_city","site_zip","site_region","calculated_neighborhood","calculated_neighborhood_distance","calculated_city","calculated_city_distance","calculated_subcounty","calculated_county","calculated_state","longitude","latitude","coordinate_precision","group","identified_by","trap_type","lure","collection_date","disease_week","num_trap","trap_nights","trap_problem","comments","species","add_date","add_user","males","females - mixed","females - gravid"
"CNSL",130,3404032,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by MT","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Shaw and Chestnut, PB Site B","Culex erythrothorax","2025-04-21T16:41:55.164Z",1032,0,342,0
"CNSL",130,3404032,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by MT","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Shaw and Chestnut, PB Site B","Anopheles freeborni","2025-04-21T16:41:55.164Z",1032,0,1,0
"CNSL",131,3404034,"001210","132011-801","1620 Bulldog Lane; CSUF","Fresno","93740",222,"001210","132011-801","1620 Bulldog Lane; CSUF","Fresno","93740",222,"","","","","","","",-119.758989,36.812867,2,"","JB- Collected by MT","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Cedar and Bulldog, Stadium PB","Culex tarsalis","2025-04-21T16:42:43.388Z",1032,0,7,0
"CNSL",132,3404037,"001087","132106-801","North/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"001087","132106-801","North/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"","","","","","","",-119.732597,36.826664,2,"","JB- Collected by MT","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Chestnut and Bullard, olive orchard","Culex quinquefasciatus","2025-04-21T16:43:48.790Z",1032,0,9,0
"CNSL",132,3404037,"001087","132106-801","North/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"001087","132106-801","North/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"","","","","","","",-119.732597,36.826664,2,"","JB- Collected by MT","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Chestnut and Bullard, olive orchard","Culex stigmatosoma","2025-04-21T16:43:48.790Z",1032,0,2,0
"CNSL",132,3404037,"001087","132106-801","North/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"001087","132106-801","North/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"","","","","","","",-119.732597,36.826664,2,"","JB- Collected by MT","Carbon dioxide baited trap","","2025-04-18T07:00:00.000Z",16,1,1,false,"CSUF; Chestnut and Bullard, olive orchard","Culex tarsalis","2025-04-21T16:43:48.790Z",1032,0,17,0
"CNSL",18,3396986,"","","","","","","","","","","","","","","","","","","",,,"","","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"SR45; 2357 Goshen Ave; 1","Culex quinquefasciatus","2025-04-10T22:17:14.668Z",517,1,0,0
"CNSL",18,3396986,"","","","","","","","","","","","","","","","","","","",,,"","","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"SR45; 2357 Goshen Ave; 1","Culex quinquefasciatus","2025-04-10T22:17:14.668Z",517,0,0,43
"CNSL",18,3396986,"","","","","","","","","","","","","","","","","","","",,,"","","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"SR45; 2357 Goshen Ave; 1","Culex stigmatosoma","2025-04-10T22:17:14.668Z",517,0,0,8
"CNSL",19,3396987,"","","","","","","","","","","","","","","","","","","",,,"","","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF; Ponding Basin Site B; 2","Culex quinquefasciatus","2025-04-10T22:18:34.541Z",517,0,0,24
"CNSL",19,3396987,"","","","","","","","","","","","","","","","","","","",,,"","","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF; Ponding Basin Site B; 2","Culex tarsalis","2025-04-10T22:18:34.541Z",517,0,0,1
"CNSL",22,3396990,"","","","","","","","","","","","","","","","","","","",,,"","","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF; Ponding Basin Site A; 2","Culex quinquefasciatus","2025-04-10T22:22:39.247Z",517,2,0,0
"CNSL",22,3396990,"","","","","","","","","","","","","","","","","","","",,,"","","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF; Ponding Basin Site A; 2","Culex quinquefasciatus","2025-04-10T22:22:39.247Z",517,0,0,20
"CNSL",22,3396990,"","","","","","","","","","","","","","","","","","","",,,"","","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF; Ponding Basin Site A; 2","Culex stigmatosoma","2025-04-10T22:22:39.247Z",517,0,0,2
"CNSL",22,3396990,"","","","","","","","","","","","","","","","","","","",,,"","","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"CSUF; Ponding Basin Site A; 2","Culiseta inornata","2025-04-10T22:22:39.247Z",517,0,0,1
"CNSL",12,3396978,"001062","132012-801","North/West of Shaw and Woodrow; CSUF","Fresno","93740",222,"001062","132012-801","North/West of Shaw and Woodrow; CSUF","Fresno","93740",222,"","","","","","","",-119.742726,36.810553,2,"","KR - collected by CR","BG Sentinel","","2025-04-10T07:00:00.000Z",15,1,1,false,"Fixed; CSUF Allergy Free Garden; 3","Culex tarsalis","2025-04-10T22:07:20.911Z",517,0,23,0
"CNSL",12,3396978,"001062","132012-801","North/West of Shaw and Woodrow; CSUF","Fresno","93740",222,"001062","132012-801","North/West of Shaw and Woodrow; CSUF","Fresno","93740",222,"","","","","","","",-119.742726,36.810553,2,"","KR - collected by CR","BG Sentinel","","2025-04-10T07:00:00.000Z",15,1,1,false,"Fixed; CSUF Allergy Free Garden; 3","Culex quinquefasciatus","2025-04-10T22:07:20.911Z",517,0,17,0
"CNSL",14,3396981,"001068","132107-803","South/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"001068","132107-803","South/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"","","","","","","",-119.733492,36.819506,2,"","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"Fixed; CSUF Oranges; 4","Culex quinquefasciatus","2025-04-10T22:09:23.649Z",517,1,0,0
"CNSL",14,3396981,"001068","132107-803","South/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"001068","132107-803","South/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"","","","","","","",-119.733492,36.819506,2,"","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"Fixed; CSUF Oranges; 4","Culex quinquefasciatus","2025-04-10T22:09:23.649Z",517,0,0,41
"CNSL",14,3396981,"001068","132107-803","South/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"001068","132107-803","South/East of Chestnut and Bullard; CSUF","Fresno","93710",222,"","","","","","","",-119.733492,36.819506,2,"","KR - collected by CR","Gravid trap","","2025-04-10T07:00:00.000Z",15,1,1,false,"Fixed; CSUF Oranges; 4","Culex tarsalis","2025-04-10T22:09:23.649Z",517,0,0,1
"CNSL",26,3397384,"","","","","","","","","","","","","","","","","","","",,,"","","KR - collected by CR","BG Sentinel","","2025-04-11T07:00:00.000Z",15,1,1,false,"2025 Clovis; 1441 Jasmine; 5","Culex quinquefasciatus","2025-04-11T21:06:06.692Z",517,0,21,0
"CNSL",26,3397384,"","","","","","","","","","","","","","","","","","","",,,"","","KR - collected by CR","BG Sentinel","","2025-04-11T07:00:00.000Z",15,1,1,false,"2025 Clovis; 1441 Jasmine; 5","Culex tarsalis","2025-04-11T21:06:06.692Z",517,0,27,0
"CNSL",26,3397384,"","","","","","","","","","","","","","","","","","","",,,"","","KR - collected by CR","BG Sentinel","","2025-04-11T07:00:00.000Z",15,1,1,false,"2025 Clovis; 1441 Jasmine; 5","Culex stigmatosoma","2025-04-11T21:06:06.692Z",517,0,4,0
"CNSL",48,3402617,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Gravid trap","","2025-04-15T07:00:00.000Z",16,1,1,false,"SR74; 3819 Willow St; 6","Culex quinquefasciatus","2025-04-17T16:42:03.581Z",1032,0,0,39
"CNSL",48,3402617,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Gravid trap","","2025-04-15T07:00:00.000Z",16,1,1,false,"SR74; 3819 Willow St; 6","Culex stigmatosoma","2025-04-17T16:42:03.581Z",1032,3,0,0
"CNSL",48,3402617,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Gravid trap","","2025-04-15T07:00:00.000Z",16,1,1,false,"SR74; 3819 Willow St; 6","Culex stigmatosoma","2025-04-17T16:42:03.581Z",1032,0,0,10
"CNSL",48,3402617,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Gravid trap","","2025-04-15T07:00:00.000Z",16,1,1,false,"SR74; 3819 Willow St; 6","Culex tarsalis","2025-04-17T16:42:03.581Z",1032,1,0,0
"CNSL",48,3402617,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Gravid trap","","2025-04-15T07:00:00.000Z",16,1,1,false,"SR74; 3819 Willow St; 6","Culex tarsalis","2025-04-17T16:42:03.581Z",1032,0,0,1
"CNSL",39,3402559,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Gravid trap","","2025-04-15T07:00:00.000Z",16,1,1,false,"Fixed; 1714 Aspen St; 7","Culex quinquefasciatus","2025-04-17T15:45:58.446Z",1032,11,0,0
"CNSL",39,3402559,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Gravid trap","","2025-04-15T07:00:00.000Z",16,1,1,false,"Fixed; 1714 Aspen St; 7","Culex quinquefasciatus","2025-04-17T15:45:58.446Z",1032,0,0,75
"CNSL",39,3402559,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Gravid trap","","2025-04-15T07:00:00.000Z",16,1,1,false,"Fixed; 1714 Aspen St; 7","Culex stigmatosoma","2025-04-17T15:45:58.446Z",1032,3,0,0
"CNSL",39,3402559,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Gravid trap","","2025-04-15T07:00:00.000Z",16,1,1,false,"Fixed; 1714 Aspen St; 7","Culex stigmatosoma","2025-04-17T15:45:58.446Z",1032,0,0,12
"CNSL",39,3402559,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Gravid trap","","2025-04-15T07:00:00.000Z",16,1,1,false,"Fixed; 1714 Aspen St; 7","Culex tarsalis","2025-04-17T15:45:58.446Z",1032,1,0,0
"CNSL",40,3402561,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Gravid trap","","2025-04-15T07:00:00.000Z",16,1,1,false,"Fixed; 3701 Olive Ln; 8","Culex quinquefasciatus","2025-04-17T15:48:03.921Z",1032,4,0,0
"CNSL",40,3402561,"","","","","","","","","","","","","","","","","","","",,,"","","JB- Collected by CR","Gravid trap","","2025-04-15T07:00:00.000Z",16,1,1,false,"Fixed; 3701 Olive Ln; 8","Culex quinquefasciatus","2025-04-17T15:48:03.921Z",1032,0,0,120
